stage,srr,module,rank,status,module_key,issue,desc,possible_causes,possible_solutions
trimmed,SRR30333751,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333752,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333752,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333753,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333753,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333754,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333754,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333755,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333755,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333756,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333756,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333757,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333757,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333758,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333758,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333759,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333759,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333760,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333760,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333761,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333761,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333762,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
trimmed,SRR30333762,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333763,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333764,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333765,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333766,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333767,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333768,Adapter Content,2,fail,adapter_content,Adapter sequence detected in reads,Adapters inflate k-mer signals and can create artificial sequence content bias.,"Short inserts/read-through, adapter dimers, incomplete cleanup.",Clip adapters with FASTX fastx_clipper (correct adapter sequence) and run FastQC again.
raw,SRR30333754,Overrepresented sequences,2,fail,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
trimmed,SRR30333754,Overrepresented sequences,2,fail,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
raw,SRR30333756,Overrepresented sequences,2,fail,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
trimmed,SRR30333756,Overrepresented sequences,2,fail,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
raw,SRR30333743,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
trimmed,SRR30333743,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
raw,SRR30333744,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
trimmed,SRR30333744,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
raw,SRR30333745,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
trimmed,SRR30333745,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
raw,SRR30333746,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
trimmed,SRR30333746,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
raw,SRR30333747,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
trimmed,SRR30333747,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
raw,SRR30333748,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
trimmed,SRR30333748,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
raw,SRR30333749,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
trimmed,SRR30333749,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
raw,SRR30333750,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
trimmed,SRR30333750,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
raw,SRR30333751,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
trimmed,SRR30333751,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
raw,SRR30333752,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
trimmed,SRR30333752,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
raw,SRR30333753,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
trimmed,SRR30333753,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
raw,SRR30333755,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
trimmed,SRR30333755,Overrepresented sequences,1,warn,overrepresented_sequences,Specific sequences appear far more often than expected,Often indicates adapters/primers or a small number of very frequent sequences.,"Residual adapters/primers, rRNA/contamination, low-complexity, real highly expressed transcripts.",Identify sequences first (FastQC list); if adapters/primers clip; if rRNA/contaminant consider filtering/flagging; if biological transcript document as expected.
raw,SRR30333743,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
trimmed,SRR30333743,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
raw,SRR30333744,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
trimmed,SRR30333744,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
raw,SRR30333745,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
trimmed,SRR30333745,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
raw,SRR30333746,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
trimmed,SRR30333746,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
raw,SRR30333747,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
trimmed,SRR30333747,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
raw,SRR30333748,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
trimmed,SRR30333748,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
raw,SRR30333749,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
trimmed,SRR30333749,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
raw,SRR30333750,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
trimmed,SRR30333750,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
raw,SRR30333751,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
trimmed,SRR30333751,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
raw,SRR30333752,Per base sequence content,2,fail,per_base_sequence_content,A/C/G/T positional bias across cycles,Position-specific base composition bias is common in RNA-seq but outliers can indicate prep artifacts.,"Random-priming bias, library prep artifacts, poly-A/T signal, adapters/primers.","Usually document; if tied to adapters/primers, clip; investigate only if a subset are strong outliers."
